0.002| Arms/update|  | Current Arms State: NULL | Wanted Arms State: STORED
0.00497| Lift Power Set: 0.0
0.00511| Lift/update|  | Current Lift State: NULL | Wanted Lift State: DOWN | inPosition: true
0.01682| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.01704| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.03462| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.03485| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.05068| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.05098| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.06631| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.06653| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.08244| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.08267| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.09815| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.09841| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.11426| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.11469| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.13006| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.13032| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.16044| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.16545| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.17784| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.178| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.1939| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.19409| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.21101| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.21129| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.23195| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.23212| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.25418| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.25449| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.2736| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.27381| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.29216| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.29238| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.31859| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
